"platform","category","primary_optimization","public_or_local_evidence_summary","standing_depth_0_5","agent_execution_0_5","identity_auth_0_5","interop_0_5","governance_challenge_0_5","production_maturity_0_5","overall_positioning_0_100","source_confidence","source_refs","notes"
"Anthropic Claude Code","coding agent platform","terminal-first and multi-surface coding agent workflow","Official overview describes an agentic coding tool that reads codebases, edits files, runs commands, integrates with IDEs, Desktop, Web, JetBrains, MCP, skills, hooks, background agents, SDK, CI, Slack, and scheduled tasks.","1","5","3","5","2","4","85","high","https://code.claude.com/docs/en/overview.md","High execution and customization; native standing remains outside product semantics."
"Devin / Cognition","autonomous software engineering platform","managed software engineering sessions with visible shell/IDE/browser/desktop work","Docs expose sessions, API, playbooks, knowledge, secrets, shell/IDE/browser tools, progress logs, computer use, visual testing, recordings, PR metrics, and enterprise security.","1","5","4","3","2","5","84","high","https://docs.devin.ai/llms.txt; https://docs.devin.ai/work-with-devin/devin-session-tools.md; https://docs.devin.ai/work-with-devin/computer-use.md; https://docs.devin.ai/api-reference/overview.md","Very strong execution trail; challengeable standing would need external protocol."
"Replit Agent","app-building agent","plain-language app creation from plan to deployment","Docs describe Plan mode, task planning, app/design/dashboard generation, testing, checkpoint/rollback, deployment, background tasks, and billing modes.","1","4","3","2","1","4","77","high","https://docs.replit.com/references/agent/overview.md","Best at hosted app building; weaker as neutral interop or standing layer."
"LangGraph / LangSmith","agent runtime and observability","durable stateful orchestration plus tracing/evaluation","LangGraph docs describe low-level orchestration for long-running stateful agents with durable execution, streaming, human-in-the-loop, persistence; LangSmith adds tracing/evaluation/deployment.","2","4","2","4","2","4","80","high","https://docs.langchain.com/oss/python/langgraph/overview.md","Closest runtime substrate for SAB verifier workflows."
"Microsoft Foundry Agent Service / AutoGen","enterprise agent platform and multi-agent framework","managed agents, hosted runtime, identity, tools, observability, publishing","Microsoft docs describe prompt agents, hosted agents, Responses API, tools, Agent Runtime, Entra identity, RBAC, observability, versioning, Teams/M365 distribution, A2A preview, and support for AutoGen/LangGraph/OpenAI/Anthropic/GitHub SDKs.","2","4","5","5","3","5","83","high","https://learn.microsoft.com/en-us/azure/foundry/agents/overview?accept=text/markdown; https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/index.html; https://github.com/microsoft/autogen","Enterprise-grade substrate; native governance is platform policy rather than adversarial public standing."
"CrewAI","multi-agent orchestration framework","crews, flows, role-based agents, and workflow automation","CrewAI docs describe an open-source framework for orchestrating autonomous AI agents and workflows, with Flows for control/state and Crews for collaborative role-playing agents with tools.","1","4","2","3","1","4","72","high","https://docs.crewai.com/introduction.md","Useful orchestration framework; standing semantics would be external."
"AGNTCY","open agent infrastructure and standards","identity, directory, schema, messaging, observability across agent ecosystems","AGNTCY docs and repos describe open infrastructure for discovery, identity, secure communication, OASF schemas, observability/evaluation, Directory, Identity, SLIM, and CSIT.","3","2","5","5","2","3","75","high","https://agntcy.org; https://docs.agntcy.org; https://github.com/agntcy/identity; https://github.com/agntcy/dir; https://github.com/agntcy/oasf","Closest standards-layer complement; identity/discovery is not equivalent to SAB standing."
"Google ADK","agent development framework","code-first graph workflows and task delegation","ADK 2.0 README describes an open-source Python framework for building, evaluating, and deploying agents with graph workflow runtime, task API, routing, fan-out/fan-in, loops, retries, state, human-in-the-loop, and local web/CLI.","1","4","2","4","2","4","78","high","https://google.github.io/adk-docs/; https://github.com/google/adk-python","Good execution substrate; standing should integrate as tool/profile."
"A2A Protocol","agent interoperability standard","agent-to-agent discovery, delegation, task exchange, and secure collaboration","A2A docs and README define an open protocol for communication between opaque agentic apps, Agent Cards, JSON-RPC over HTTP(S), streaming/push, text/file/JSON exchange, security/auth/observability, and Linux Foundation governance.","2","2","3","5","3","4","79","high","https://a2a-protocol.org/latest/; https://github.com/a2aproject/A2A; https://developers.googleblog.com/en/a2a-a-new-era-of-agent-interoperability/; https://a2a-protocol.org/latest/topics/extensions/; https://github.com/a2aproject/A2A/discussions/1631; https://github.com/a2aproject/A2A/issues/1628","SAB should publish an A2A standing profile rather than compete with A2A. Verified 2026-07-05: A2A defines an official extensions mechanism (AgentExtension objects in Agent Cards, A2A-Extensions activation header) but NO official trust/reputation extension exists; trust extensions are community proposals only (Discussion #1631 reputation-aware discovery; Issue #1628 trust.signals[]). ERC-8004 positions itself as the trust layer for A2A."
"Google Jules","cloud coding agent","GitHub-connected autonomous coding tasks in VM","Jules docs describe an experimental coding agent that connects to GitHub, clones repos into a VM, installs dependencies, proposes a plan before edits, uses AGENTS.md, and notifies on completion/input needs.","1","4","3","3","2","4","76","high","https://jules.google/docs/","Strong Google coding workflow surface; public docs do not show claim-standing layer."
"Google Gemini CLI","open-source terminal coding agent","terminal agent with Gemini models, tools, MCP, headless mode, GitHub workflows","Gemini CLI README describes open-source terminal agent, file and shell tools, web fetch/search, MCP, checkpointing, GEMINI.md, headless JSON modes, GitHub Action for PR review and issue triage, and Vertex AI auth.","1","4","4","5","2","4","78","high","https://github.com/google-gemini/gemini-cli; https://www.geminicli.com/docs/","Strong open CLI distribution channel for SAB verifier tools."
"OpenHands Agent Canvas","self-hosted agent control center","self-hosted control center for multiple coding agents and automations","README describes self-hosted developer control center for OpenHands, Claude Code, Codex, Gemini, or ACP-compatible agents across local/remote/cloud backends, automations, Slack/GitHub/Linear integrations, and sandbox options.","1","4","2","5","1","3","70","high","https://github.com/All-Hands-AI/OpenHands; https://docs.openhands.dev/overview/introduction","Useful neutral host for SAB-enabled agent backends; not itself a standing authority."
"OpenClaw secure profile","local sandbox profile","hardened tool sandbox and gateway isolation","Local README/config describe Docker tool sandboxes, network none, read-only root, dropped capabilities, explicit mounts, six agents split by responsibility, and VM-contained gateway path; OpenClaw is not installed locally and directory is not a git repo.","1","3","2","2","2","1","46","medium","local:/Users/dhyana/openclaw-secure/README.md; local:/Users/dhyana/openclaw-secure/config/openclaw.json; local:/Users/dhyana/openclaw-secure/scripts/validate-config.py; command:git -C /Users/dhyana/openclaw-secure rev-parse HEAD => not a git repository","Local evidence only; useful as containment pattern, not field proof."
"ERC-8004 Trustless Agents","decentralized agent trust","onchain agent identity, reputation, and validation registries without pre-existing trust","ERC-8004 (Draft, Standards Track: ERC) specifies three onchain registries: Identity (ERC-721/URIStorage agent handles resolving to registration files, format {namespace}:{chainId}:{identityRegistry}), Reputation (giveFeedback/revokeFeedback; 'the feedback submitter MUST NOT be the agent owner or an approved operator'), and Validation (validationRequest/validationResponse for stake-secured re-execution, zkML, or TEE oracles). Explicitly references A2A and MCP endpoints and three pluggable trust models.","3","0","4","4","3","2","62","high","https://eips.ethereum.org/EIPS/eip-8004 (fetched 2026-07-05)","Closest external analog to SAB standing semantics and the #1 external threat. EIP status is Draft; ecosystem posts claim audited mainnet deployments on 20+ networks (UNVERIFIED at spec level). SAB posture: emit/consume 8004 feedback and validation records, not compete."
"GitHub as trust substrate","code trust substrate","provenance-attested builds and gated merges as de-facto trust for agent work","Branch protection enforces required status checks, required PR reviews, CODEOWNERS approval, signed commits, push restriction, and linear history. Artifact attestations are 'built on Sigstore' and 'by itself provides SLSA v1.0 Build Level 2', verified via gh attestation verify; GitHub warns attestations 'are not a guarantee that an artifact is secure'. Sigstore = cosign + Fulcio short-lived certs + Rekor transparency log; SLSA v1.0 defines Build L1-L3 provenance levels.","2","3","4","4","2","5","82","high","https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-protected-branches/about-protected-branches; https://docs.github.com/en/actions/concepts/security/artifact-attestations; https://slsa.dev/spec/v1.0/levels; https://docs.sigstore.dev/about/overview/","Attests provenance and process, not claim truth; no adversarial challenge, expiry, or revocable reliance. Single most likely absorber of agent trust workflows given distribution."
"Recall / AgentRank","decentralized agent trust","competition-based agent skill ranking with token staking","Official docs describe 'the world's first decentralized skill market for AI': agents ranked via paper/spot/perpetual-futures trading competitions with leaderboards, RECALL token staking/boosting on agents, and competition-determined reward distribution.","3","2","2","2","2","3","55","medium","https://docs.recall.network/ (fetched 2026-07-05)","Mechanism is competition scoreboards in narrow verifiable domains (trading), not challengeable claim standing. 'AgentRank' as a named mechanism was NOT confirmed in fetched docs (UNVERIFIED); live-vs-planned extent unclear."
"MetaGPT","multi-agent software company framework","SOP-orchestrated role agents producing software from one-line requirements","Repo (69k+ stars, 6,367 commits) assigns roles — 'product managers / architects / project managers / engineers' — under 'Code = SOP(Team)'; one-line requirement yields user stories, requirements, APIs, docs. ICLR 2025 paper; MGX commercial launch Feb 2025. No inter-agent trust or standing mechanism documented.","0","4","0","2","1","4","58","high","https://github.com/FoundationAgents/MetaGPT","Prior art for cross-agent project formation — the future half of SAB's pitch already exists as framework; trust axis absent."
"ChatDev","multi-agent software company framework","virtual software company via specialized LLM role agents","ChatDev 1.0 ran 'various intelligent agents (e.g., CEO, CTO, Programmer)' through 'specialized functional seminars' across the software lifecycle; ChatDev 2.0 (DevAll) released Jan 07 2026 as 'A Zero-Code Multi-Agent Platform for Developing Everything'. No inter-agent trust/verification mechanism documented.","0","4","0","2","1","3","54","high","https://github.com/OpenBMB/ChatDev","Prior art that agent-only build orgs have existed since 2023; verification remains human-in-the-loop."
"SWE-agent","autonomous software engineering research agent","benchmark-verified autonomous issue fixing via agent-computer interface","Princeton/Stanford system (NeurIPS 2024, arXiv 2405.15793): 'takes a GitHub issue and tries to automatically fix it, using your LM of choice'; state-of-the-art SWE-bench performance; MIT license; no trust/standing mechanism.","0","4","0","2","1","3","54","high","https://github.com/SWE-agent/SWE-agent","Matters as evidence culture: benchmark-graded agent work normalizes external verification of agent output claims."
"MIT NANDA","decentralized agent trust","decentralized index plus signed AgentFacts for agent discovery","projnanda GitHub org ships working code: adapter ('Building the Internet of Agents', Python), nanda-index-v2 (TypeScript registry), agentfacts-format (signed, schema-validated agent capability/metadata format), nanda-registry-server-repo, nanda-agent library.","2","1","4","3","1","2","50","medium","https://github.com/projnanda (repos: adapter, nanda-index-v2, agentfacts-format, nanda-registry-server-repo; fetched 2026-07-05)","Discovery + identity, not adversarial standing; press claim that the index is hosted at 15 universities is secondary and UNVERIFIED; repo adoption is small (4-52 stars on infra repos)."
"cheqd","decentralized identity and trust registry infrastructure","DIDs, verifiable credentials, and monetized trust registries","Product docs specify did:cheqd DIDs, verifiable credentials (JWT, JSON-LD, AnonCreds, SD-JWT), trust registries using the Decentralized Trust Chain model, DID-Linked Resources, status lists, and credential payments; partner SaaS (Paradym, Truvera, Hovi) consume the stack.","2","0","5","3","2","4","60","medium","https://docs.cheqd.io/product (fetched 2026-07-05)","Fetched docs are NOT agent-specific despite agent-facing marketing; trust registries answer who accredited whom, not whether an agent's work claims survive challenge."
"Bittensor validation","decentralized agent trust","stake-weighted consensus scoring of machine work","Yuma Consensus 'computes validator and miner emissions from validators' rankings of miners' performances'; consensus benchmark = 'the maximum weight level supported by at least a fraction kappa of total stake' (default 0.5); above-benchmark weights are clipped and over-weighting validators take bond penalty beta, so validators near consensus build stronger EMA bonds.","3","2","2","1","3","4","62","high","https://docs.learnbittensor.org/learn/yuma-consensus","Live crypto-economic validation of machine work at scale; scores continuous performance in subnets, not discrete challengeable claims with expiry/revocation; heavyweight tokenomics coupling."
"x402","agent-native payments protocol","HTTP 402 pay-per-request rails for agents and APIs","'An open standard for internet native payments': server responds 402 with PAYMENT-REQUIRED header, client resubmits with signed payment payload, facilitator server verifies and settles onchain; TypeScript/Python/Go/Java implementations; originated at Coinbase, now under the x402 Foundation with the Coinbase repo as development fork.","0","1","2","4","1","3","52","high","https://github.com/coinbase/x402","Payments, not trust — but standing plus payment rails is the composite stack agent economies need; complement to SAB rather than rival."
"MCP Registry","agent tool registry and namespace trust","authenticated namespace publication and discovery of MCP servers","Official modelcontextprotocol registry ('like an app store for MCP servers'; preview with API freeze v0.1 since Oct 2025): server.json metadata, publisher CLI, namespace ownership proof via GitHub OAuth/OIDC or DNS/HTTP domain verification.","1","0","3","5","1","3","55","high","https://github.com/modelcontextprotocol/registry","Trust = namespace ownership only; no behavior or claim verification; SAB standing could layer on top of registry entries."
"Microsoft Entra Agent ID","enterprise agent identity and governance","directory-native agent identities with adaptive access and lifecycle governance","Learn docs (updated 2026-06): agent identities and blueprints (parent-child templates) as first-class Entra constructs; OAuth 2.0, MCP, and A2A support; third-party agents (AWS Bedrock, n8n) via Auth SDK sidecar or workload identity federation; conditional access, risk detection, lifecycle governance, audit logging; 'available for all Microsoft Entra customers'; Microsoft Agent 365 is a separately licensed product for M365-wide agent operation.","1","1","5","4","3","4","68","high","https://learn.microsoft.com/en-us/entra/agent-id/what-is-microsoft-entra-agent-id (fetched 2026-07-05)","Enterprise policy governance of agent identities inside a tenant, not public adversarial standing; strongest identity/auth stack in the matrix; Agent 365 confirmed real as licensing surface."
